warehouse_id,sku_id,starting_inventory_units
WH-N100000,SKU-100000,2115
WH-N100001,SKU-100001,2210
WH-N100002,SKU-100002,2006
WH-N100003,SKU-100003,2669
WH-N100004,SKU-100004,2483
WH-N100005,SKU-100005,1462
WH-N100006,SKU-100006,1960
WH-N100007,SKU-100007,2851
WH-N100008,SKU-100008,2917
WH-N100009,SKU-100009,2079
WH-N100010,SKU-100010,1953
WH-N100011,SKU-100011,1068
WH-N100012,SKU-100012,898
WH-N100013,SKU-100013,1586
WH-N100014,SKU-100014,1923
WH-N100015,SKU-100015,2932
WH-N100016,SKU-100016,1232
WH-N100017,SKU-100017,2315
WH-S100018,SKU-100018,822
WH-S100019,SKU-100019,2935
WH-S100020,SKU-100020,1494
WH-S100021,SKU-100021,2809
WH-S100022,SKU-100022,2646
WH-S100023,SKU-100023,2638
WH-S100024,SKU-100024,1602
WH-S100025,SKU-100025,646
WH-S100026,SKU-100026,1224
WH-S100027,SKU-100027,872
WH-S100028,SKU-100028,2832
WH-S100029,SKU-100029,2958
WH-S100030,SKU-100030,2629
WH-S100031,SKU-100031,970
WH-S100032,SKU-100032,2237
WH-S100033,SKU-100033,2593
WH-S100034,SKU-100034,2477
WH-S100035,SKU-100035,1382
WH-E100036,SKU-100036,2401
WH-E100037,SKU-100037,2561
WH-E100038,SKU-100038,2959
WH-E100039,SKU-100039,2822
WH-E100040,SKU-100040,1339
WH-E100041,SKU-100041,1256
WH-E100042,SKU-100042,1131
WH-E100043,SKU-100043,2251
WH-E100044,SKU-100044,2189
WH-E100045,SKU-100045,965
WH-E100046,SKU-100046,1842
WH-E100047,SKU-100047,1172
WH-E100048,SKU-100048,888
WH-E100049,SKU-100049,2816
WH-E100050,SKU-100050,2892
WH-E100051,SKU-100051,1626
WH-E100052,SKU-100052,1950
WH-E100053,SKU-100053,616
WH-W100054,SKU-100054,2624
WH-W100055,SKU-100055,2436
WH-W100056,SKU-100056,1537
WH-W100057,SKU-100057,585
