warehouse_id,demand_region,ship_cost_per_unit_usd,lead_time_days
WH-N100000,North,1.08,2
WH-N100001,South,2.7,2
WH-N100002,East,1.09,3
WH-N100003,West,0.63,1
WH-S100004,North,1.43,3
WH-S100005,South,1.43,3
WH-S100006,East,2.42,2
WH-S100007,West,1.15,4
WH-E100008,North,2.33,2
WH-E100009,South,2.48,1
WH-E100010,East,2.63,1
WH-E100011,West,1.58,2
WH-W100012,North,0.52,4
WH-W100013,South,0.72,4
WH-W100014,East,1.39,1
WH-W100015,West,0.67,3
WH-C100016,North,1.55,2
WH-C100017,South,2.48,1
WH-C100018,East,0.98,3
WH-C100019,West,1.14,2
WH-N100020,North,1.08,2
WH-N100021,South,2.7,2
WH-N100022,East,1.09,3
WH-N100023,West,0.63,1
WH-S100024,North,1.43,3
WH-S100025,South,1.43,3
WH-S100026,East,2.42,2
WH-S100027,West,1.15,4
WH-E100028,North,2.33,2
WH-E100029,South,2.48,1
WH-E100030,East,2.63,1
WH-E100031,West,1.58,2
WH-W100032,North,0.52,4
WH-W100033,South,0.72,4
WH-W100034,East,1.39,1
WH-W100035,West,0.67,3
WH-C100036,North,1.55,2
WH-C100037,South,2.48,1
WH-C100038,East,0.98,3
WH-C100039,West,1.14,2
WH-N100040,North,1.08,2
WH-N100041,South,2.7,2
WH-N100042,East,1.09,3
WH-N100043,West,0.63,1
WH-S100044,North,1.43,3
WH-S100045,South,1.43,3
WH-S100046,East,2.42,2
WH-S100047,West,1.15,4
WH-E100048,North,2.33,2
WH-E100049,South,2.48,1
WH-E100050,East,2.63,1
WH-E100051,West,1.58,2
WH-W100052,North,0.52,4
WH-W100053,South,0.72,4
WH-W100054,East,1.39,1
WH-W100055,West,0.67,3
WH-C100056,North,1.55,2
WH-C100057,South,2.48,1
WH-C100058,East,0.98,3
WH-C100059,West,1.14,2
WH-N100060,North,1.08,2
WH-N100061,South,2.7,2
WH-N100062,East,1.09,3
WH-N100063,West,0.63,1
WH-S100064,North,1.43,3
WH-S100065,South,1.43,3
WH-S100066,East,2.42,2
WH-S100067,West,1.15,4
WH-E100068,North,2.33,2
WH-E100069,South,2.48,1
WH-E100070,East,2.63,1
WH-E100071,West,1.58,2
WH-W100072,North,0.52,4
WH-W100073,South,0.72,4
WH-W100074,East,1.39,1
WH-W100075,West,0.67,3
WH-C100076,North,1.55,2
WH-C100077,South,2.48,1
WH-C100078,East,0.98,3
WH-C100079,West,1.14,2
WH-N100080,North,1.08,2
WH-N100081,South,2.7,2
WH-N100082,East,1.09,3
WH-N100083,West,0.63,1
WH-S100084,North,1.43,3
WH-S100085,South,1.43,3
WH-S100086,East,2.42,2
WH-S100087,West,1.15,4
WH-E100088,North,2.33,2
WH-E100089,South,2.48,1
WH-E100090,East,2.63,1
WH-E100091,West,1.58,2
WH-W100092,North,0.52,4
WH-W100093,South,0.72,4
WH-W100094,East,1.39,1
WH-W100095,West,0.67,3
WH-C100096,North,1.55,2
WH-C100097,South,2.48,1
WH-C100098,East,0.98,3
WH-C100099,West,1.14,2
WH-N100100,North,1.08,2
WH-N100101,South,2.7,2
WH-N100102,East,1.09,3
WH-N100103,West,0.63,1
WH-S100104,North,1.43,3
WH-S100105,South,1.43,3
WH-S100106,East,2.42,2
WH-S100107,West,1.15,4
WH-E100108,North,2.33,2
WH-E100109,South,2.48,1
WH-E100110,East,2.63,1
WH-E100111,West,1.58,2
WH-W100112,North,0.52,4
WH-W100113,South,0.72,4
WH-W100114,East,1.39,1
WH-W100115,West,0.67,3
WH-C100116,North,1.55,2
WH-C100117,South,2.48,1
WH-C100118,East,0.98,3
WH-C100119,West,1.14,2
WH-N100120,North,1.08,2
WH-N100121,South,2.7,2
WH-N100122,East,1.09,3
WH-N100123,West,0.63,1
WH-S100124,North,1.43,3
WH-S100125,South,1.43,3
WH-S100126,East,2.42,2
WH-S100127,West,1.15,4
WH-E100128,North,2.33,2
WH-E100129,South,2.48,1
WH-E100130,East,2.63,1
WH-E100131,West,1.58,2
WH-W100132,North,0.52,4
WH-W100133,South,0.72,4
WH-W100134,East,1.39,1
WH-W100135,West,0.67,3
WH-C100136,North,1.55,2
WH-C100137,South,2.48,1
WH-C100138,East,0.98,3
WH-C100139,West,1.14,2
WH-N100140,North,1.08,2
WH-N100141,South,2.7,2
WH-N100142,East,1.09,3
WH-N100143,West,0.63,1
WH-S100144,North,1.43,3
WH-S100145,South,1.43,3
WH-S100146,East,2.42,2
WH-S100147,West,1.15,4
WH-E100148,North,2.33,2
WH-E100149,South,2.48,1
WH-E100150,East,2.63,1
WH-E100151,West,1.58,2
WH-W100152,North,0.52,4
WH-W100153,South,0.72,4
WH-W100154,East,1.39,1
WH-W100155,West,0.67,3
WH-C100156,North,1.55,2
WH-C100157,South,2.48,1
WH-C100158,East,0.98,3
WH-C100159,West,1.14,2
